"用户ID","特征","外设使用率","外设使用时长","使用时间"
"2483","音乐制作|直播|编程","0.87","1572","2025-04"
"2085","办公","0.48","1552","2026-07"
"3628","办公","0.85","532","2026-07"
"9893","办公|学习","0.55","362","2024-10"
"3035","编程","0.52","795","2025-12"
"8743","音乐制作|通勤","0.46","1955","2026-07"
"1215","编程","0.66","747","2025-08"
"5743","多设备办公","0.78","1659","2026-06"
"1041","通勤|编程","0.78","1327","2026-04"
"4897","设计剪辑|编程","0.50","959","2024-12"
"8728","学习|游戏","0.64","742","2024-06"
"7295","办公|办公","0.72","1830","2026-06"
"8417","影音娱乐|游戏|影音娱乐","0.78","1477","2025-01"
"4202","影音娱乐|影音娱乐","0.93","1135","2024-09"
"3601","设计剪辑|游戏","0.72","1769","2026-03"
"5690","游戏","0.75","1183","2026-03"
"6939","游戏|办公|游戏","0.74","2651","2024-12"
"8123","编程","0.84","421","2026-02"
"4205","音乐制作|直播","0.50","2291","2025-11"
"1255","设计剪辑","0.84","1150","2025-04"
"9164","音乐制作|影音娱乐|多设备办公","0.71","1684","2024-04"
"8237","办公","0.66","335","2025-08"
"4861","办公|学习","0.50","687","2025-07"
"6928","学习","0.96","901","2025-03"
"9261","编程|影音娱乐","0.79","406","2024-09"
"4977","直播","0.87","2522","2025-09"
"8736","通勤","0.73","875","2026-04"
"9797","学习|音乐制作|办公","0.83","1803","2025-01"
"9015","学习","0.59","1113","2026-02"
"4249","学习|影音娱乐","0.94","2013","2025-01"
"4949","游戏","0.48","2498","2026-03"
"2016","设计剪辑","0.72","1341","2025-06"
"3824","设计剪辑|直播","0.88","1845","2025-03"
"1998","通勤","0.73","607","2024-06"
"8451","游戏|设计剪辑","0.96","2257","2026-03"
"6061","设计剪辑|办公|办公","0.91","2503","2026-03"
"8927","直播","0.46","2567","2025-11"
"1149","音乐制作|办公","0.67","1547","2025-09"
"1661","多设备办公","0.56","1283","2025-06"
"3186","办公","0.95","1188","2026-09"
"2530","直播|直播|影音娱乐","0.61","2589","2026-05"
"1598","学习","0.48","450","2026-02"
"3931","游戏","0.81","2223","2026-06"
"3093","游戏","0.89","1884","2026-06"
"9194","游戏","0.97","1315","2024-03"
"8819","影音娱乐|设计剪辑","0.66","1745","2025-08"
"2867","影音娱乐|影音娱乐","0.55","1005","2025-11"
"8115","游戏|直播","0.71","1475","2026-03"
"9823","影音娱乐|学习","0.92","1845","2026-07"
"7006","游戏","0.56","2434","2026-04"
"9155","影音娱乐|游戏","0.52","1144","2025-11"
"1932","音乐制作|多设备办公","0.70","968","2026-05"
"2610","办公","0.47","1088","2026-06"
"4802","音乐制作|设计剪辑","0.59","1426","2026-04"
"6141","办公|游戏|编程","0.62","949","2026-07"
"5612","直播|游戏","0.78","1969","2024-12"
"6583","影音娱乐|办公|编程","0.67","1024","2026-01"
"4365","多设备办公","0.49","639","2025-05"
"8109","直播","0.48","995","2026-05"
"3988","办公","0.91","677","2024-09"
"5388","设计剪辑|影音娱乐","0.83","824","2026-02"
"9368","音乐制作","0.94","2187","2026-08"
"9771","办公|学习","0.65","995","2026-05"
"4559","游戏|学习","0.49","1325","2026-04"
"5973","设计剪辑","0.76","1318","2026-05"
"4877","办公|办公","0.60","1746","2026-04"
"8807","办公","0.58","1564","2025-06"
"4671","游戏","0.84","1820","2026-04"
"5341","设计剪辑","0.49","2413","2025-11"
"9822","影音娱乐|影音娱乐|游戏","0.95","2115","2024-06"
"7048","游戏","0.76","1591","2025-10"
"5044","多设备办公|影音娱乐","0.78","766","2026-06"
"4397","学习","0.65","232","2026-02"
"3101","影音娱乐|多设备办公|音乐制作","0.83","685","2024-12"
"9283","办公|影音娱乐|办公","0.87","241","2024-09"
"1123","设计剪辑","0.54","533","2025-10"
"7415","游戏","0.66","1720","2025-10"
"9114","直播|音乐制作|多设备办公","0.96","1171","2025-10"
"3572","影音娱乐|学习|办公","0.81","1592","2024-04"
"6388","办公|学习","0.50","406","2024-10"
"1185","游戏|办公","0.74","1043","2026-05"
"7365","影音娱乐|设计剪辑","0.97","935","2026-06"
"7530","办公|影音娱乐|影音娱乐","0.52","1174","2025-01"
"5365","直播|通勤|直播","0.86","1231","2026-02"
"9474","办公","0.67","1864","2025-03"
"9291","办公|通勤","0.92","1635","2025-11"
"2330","办公|直播","0.97","2460","2024-11"
"1828","办公","0.50","1696","2024-08"
"8277","设计剪辑|通勤|编程","0.56","692","2025-01"
"9018","直播","0.55","1915","2025-03"
"4239","直播|游戏|设计剪辑","0.59","2918","2025-07"
"5556","游戏","0.94","1427","2025-11"
"2909","办公|办公","0.53","1451","2024-06"
"4370","直播","0.91","1272","2026-03"
"4662","游戏","0.50","836","2025-07"
"5491","游戏|编程|办公","0.68","473","2025-07"
"2719","办公","0.72","391","2024-03"
"3727","游戏","0.52","915","2025-12"
"6935","游戏","0.47","1503","2026-01"
"4151","设计剪辑","0.80","556","2026-05"
"9479","音乐制作|编程","0.57","1114","2026-05"
"8867","学习|多设备办公","0.61","669","2025-09"
"3152","直播","0.50","1240","2025-11"
"9126","学习|音乐制作","0.94","2440","2025-07"
"3478","影音娱乐|直播","0.90","2666","2026-06"
"4230","编程","0.89","682","2025-10"
"7799","游戏|游戏|影音娱乐","0.75","941","2026-03"
"8848","影音娱乐|办公","0.54","1380","2026-08"
"7029","办公|音乐制作","0.88","2471","2026-07"
"6086","编程|影音娱乐","0.58","1560","2024-12"
"8376","游戏|办公","0.61","2247","2025-06"
"2137","办公|游戏|影音娱乐","0.79","2420","2025-12"
"9532","学习","0.73","306","2025-01"
"3376","影音娱乐|游戏|游戏","0.68","1739","2024-11"
